Supplementary Table 2. List of genes with pathogenic variant frequencies in Pan-cancer compared to controls																		
																		
Gene Symbol	Ensenbl ID	Gene set	Inheritance	Case-control (PTVs)					Case-control (ClinVar Pathogenic variants)					Case-control (PTVs + ClinVar Pathogenic variants)				
				PCAWG (%)	1KG (%)	Log2 (Odds ratio)	P-value	FDR	PCAWG (%)	1KG (%)	Log2 (Odds ratio)	P-value	FDR	PCAWG (%)	1KG (%)	Log2 (Odds ratio)	P-value	FDR
TGDS	ENSG00000088451	OMIM	AR	-	-	-	-	-	0.19	0.00	1.44	0.377	0.434	0.19	0.00	1.44	0.377	0.433
TGFBI	ENSG00000120708	OMIM	AD	-	-	-	-	-	0.45	0.24	0.61	0.398	0.456	0.49	0.24	0.66	0.357	0.412
TGIF1	ENSG00000177426	OMIM	AD	0.42	0.04	2.67	0.042	0.050	-	-	-	-	-	0.42	0.04	2.67	0.042	0.050
TGM1	ENSG00000092295	OMIM	AR	0.04	0.12	0.06	0.963	0.968	0.19	0.40	-1.71	0.036	0.043	0.23	0.44	-1.42	0.065	0.077
TGM3	ENSG00000125780	OMIM	AR	0.11	0.00	2.88	0.157	0.187	-	-	-	-	-	0.11	0.00	2.88	0.157	0.187
TGM5	ENSG00000104055	OMIM	AR	0.08	0.04	0.79	0.589	0.651	0.45	0.32	-0.15	0.845	0.866	0.53	0.36	0.04	0.953	0.960
TGM6	ENSG00000166948	OMIM	AD	0.08	0.08	-0.10	0.943	0.954	0.04	0.16	-1.21	0.320	0.371	0.11	0.24	-0.96	0.330	0.383
THBD	ENSG00000178726	OMIM	AD	-	-	-	-	-	0.26	0.00	1.73	0.275	0.321	0.26	0.00	1.73	0.275	0.320
THOC6	ENSG00000131652	OMIM	AR	-	-	-	-	-	0.15	0.04	0.01	0.994	0.995	0.15	0.04	0.01	0.994	0.995
THPO	ENSG00000090534	OMIM	AD	0.11	0.00	1.00	0.560	0.622	-	-	-	-	-	0.11	0.00	1.00	0.560	0.619
TICAM1	ENSG00000127666	OMIM	ADAR	0.08	0.04	0.45	0.742	0.786	-	-	-	-	-	0.08	0.04	0.45	0.742	0.785
TLE6	ENSG00000104953	OMIM	AR	0.19	0.00	1.40	0.393	0.452	-	-	-	-	-	0.19	0.00	1.40	0.393	0.449
TLR1	ENSG00000174125	OMIM	Other	0.26	0.08	1.12	0.323	0.376	-	-	-	-	-	0.26	0.08	1.12	0.323	0.375
TLR2	ENSG00000137462	OMIM	AD	0.23	0.08	1.01	0.338	0.393	-	-	-	-	-	0.23	0.08	1.01	0.338	0.391
TLR5	ENSG00000187554	OMIM	Other	0.34	0.32	0.96	0.207	0.244	-	-	-	-	-	0.34	0.32	0.96	0.207	0.243
TMC1	ENSG00000165091	OMIM	ADAR	0.11	0.12	0.06	0.956	0.963	0.04	0.08	0.35	0.802	0.828	0.11	0.12	0.06	0.956	0.962
TMEM126A	ENSG00000171202	OMIM	AR	0.00	0.16	-1.17	0.484	0.546	-	-	-	-	-	0.00	0.16	-1.17	0.484	0.543
TMEM126B	ENSG00000171204	OMIM	AR	-	-	-	-	-	0.38	0.04	1.34	0.269	0.315	0.42	0.04	1.41	0.241	0.282
TMEM240	ENSG00000205090	OMIM	AD	-	-	-	-	-	0.11	0.00	2.15	0.183	0.217	0.11	0.00	2.15	0.183	0.216
TMEM63A	ENSG00000196187	OMIM	AD	0.15	0.00	1.14	0.496	0.559	-	-	-	-	-	0.15	0.00	1.14	0.496	0.556
TMEM67	ENSG00000164953	OMIM	AR	0.11	0.08	0.20	0.878	0.899	0.08	0.04	0.07	0.962	0.969	0.15	0.08	0.39	0.756	0.794
TMEM8C	ENSG00000187616	OMIM	AR	-	-	-	-	-	0.30	0.28	-1.21	0.111	0.133	0.30	0.28	-1.21	0.111	0.133
TMPRSS13	ENSG00000137747	SOD	Not OMIM	0.00	0.12	-1.47	0.370	0.428	-	-	-	-	-	0.00	0.12	-1.47	0.370	0.426
TMPRSS15	ENSG00000154646	OMIM	AR	0.19	0.00	1.88	0.245	0.288	-	-	-	-	-	0.19	0.00	1.88	0.245	0.287
TMPRSS3	ENSG00000160183	OMIM	AR	0.11	0.00	1.09	0.522	0.584	0.57	0.32	-0.14	0.845	0.866	0.61	0.32	-0.06	0.926	0.939
TMPRSS6	ENSG00000187045	OMIM	AR	0.04	0.08	-0.10	0.944	0.954	0.00	0.12	-1.99	0.271	0.317	0.04	0.12	-1.23	0.395	0.451
TMPRSS7	ENSG00000176040	SOD	Not OMIM	0.04	0.16	-0.87	0.522	0.584	-	-	-	-	-	0.04	0.16	-0.87	0.522	0.581
TNC	ENSG00000041982	OMIM	AD	-	-	-	-	-	0.11	0.04	1.08	0.419	0.478	0.19	0.04	1.26	0.327	0.380
TNFRSF10B	ENSG00000120889	OMIM	AR	0.23	0.04	1.48	0.308	0.360	-	-	-	-	-	0.23	0.04	1.48	0.308	0.358
TNFRSF13B	ENSG00000240505	OMIM	ADAR	0.30	0.04	1.62	0.163	0.193	-	-	-	-	-	0.30	0.04	1.62	0.163	0.193
TNNI3K	ENSG00000116783	OMIM	AD	0.45	0.40	0.41	0.576	0.639	-	-	-	-	-	0.45	0.40	0.41	0.576	0.636
TNNT2	ENSG00000118194	OMIM	AD	0.15	0.00	1.40	0.392	0.451	-	-	-	-	-	0.15	0.00	1.40	0.392	0.449
TOP3A	ENSG00000177302	OMIM	AR	0.08	0.12	0.38	0.791	0.819	-	-	-	-	-	0.08	0.12	0.38	0.791	0.818
TP53	ENSG00000141510	CPG	Not OMIM	-	-	-	-	-	0.11	0.04	-0.03	0.983	0.985	0.11	0.04	-0.03	0.983	0.985
TPH2	ENSG00000139287	OMIM	Other	-	-	-	-	-	0.30	0.08	0.12	0.901	0.918	0.30	0.08	0.12	0.901	0.918
TPO	ENSG00000115705	OMIM	AR	0.30	0.28	0.27	0.783	0.813	0.23	0.16	-0.20	0.844	0.865	0.34	0.44	-0.38	0.647	0.702
TPP1	ENSG00000166340	OMIM	AR	0.15	0.00	1.73	0.292	0.341	0.08	0.08	0.28	0.842	0.864	0.15	0.08	0.92	0.453	0.512
TRAF3IP1	ENSG00000204104	OMIM	AR	-	-	-	-	-	-	-	-	-	-	0.08	0.04	0.79	0.637	0.694
TREM2	ENSG00000095970	OMIM	Other	-	-	-	-	-	-	-	-	-	-	0.00	0.12	-2.40	0.165	0.196
TRIM36	ENSG00000152503	OMIM	AR	0.11	0.04	0.37	0.791	0.819	-	-	-	-	-	0.11	0.04	0.37	0.791	0.818
TRIOBP	ENSG00000100106	OMIM	AR	0.23	0.08	0.54	0.640	0.698	-	-	-	-	-	0.23	0.08	0.54	0.640	0.695
TRIP4	ENSG00000103671	OMIM	AR	-	-	-	-	-	-	-	-	-	-	0.00	0.12	-1.53	0.384	0.440
TRIT1	ENSG00000043514	OMIM	AR	0.11	0.04	0.91	0.570	0.632	-	-	-	-	-	0.11	0.04	0.91	0.570	0.629
TRMT1	ENSG00000104907	OMIM	AR	0.15	0.00	1.84	0.265	0.310	-	-	-	-	-	0.15	0.00	1.84	0.265	0.309
TRMT10C	ENSG00000174173	OMIM	AR	-	-	-	-	-	-	-	-	-	-	0.08	0.04	1.33	0.347	0.401
TRMU	ENSG00000100416	OMIM	AR	-	-	-	-	-	0.04	0.08	0.37	0.827	0.850	0.11	0.08	1.23	0.396	0.453
TRNT1	ENSG00000072756	OMIM	AR	0.19	0.04	1.40	0.335	0.390	-	-	-	-	-	0.19	0.04	1.40	0.335	0.388
TRPA1	ENSG00000104321	OMIM	AD	0.23	0.16	0.86	0.391	0.450	-	-	-	-	-	0.23	0.16	0.86	0.391	0.448
TRPM1	ENSG00000134160	OMIM	AR	0.08	0.08	-0.95	0.462	0.525	0.04	0.08	-1.09	0.435	0.495	0.11	0.16	-1.31	0.209	0.246
TRPM4	ENSG00000130529	OMIM	AD	0.45	0.12	0.63	0.487	0.549	-	-	-	-	-	0.45	0.12	0.63	0.487	0.547
TRPV3	ENSG00000167723	OMIM	AD	0.11	0.04	0.92	0.508	0.570	-	-	-	-	-	0.11	0.04	0.92	0.508	0.568
TRPV4	ENSG00000111199	OMIM	AD	0.11	0.04	0.71	0.640	0.698	-	-	-	-	-	0.11	0.08	-0.39	0.763	0.799
TSHR	ENSG00000165409	CPG	Not OMIM	-	-	-	-	-	0.26	0.24	0.15	0.865	0.885	0.30	0.24	0.24	0.787	0.815
TSPEAR	ENSG00000175894	OMIM	AR	0.30	0.28	-0.02	0.981	0.983	-	-	-	-	-	0.30	0.28	-0.02	0.981	0.983
TSPYL1	ENSG00000189241	OMIM	AR	0.08	0.12	-0.59	0.603	0.665	-	-	-	-	-	0.08	0.12	-0.59	0.603	0.662
TTC18	ENSG00000156042	OMIM	AR	0.15	0.04	2.70	0.083	0.099	-	-	-	-	-	0.15	0.04	2.70	0.083	0.099
TTC19	ENSG00000011295	OMIM	AR	0.08	0.04	1.11	0.466	0.529	-	-	-	-	-	0.08	0.04	1.11	0.466	0.526
TTC21A	ENSG00000168026	OMIM	AR	0.11	0.04	2.04	0.191	0.226	-	-	-	-	-	0.11	0.04	2.04	0.191	0.225
TTC21B	ENSG00000123607	OMIM	AR	0.15	0.12	-0.50	0.657	0.714	0.08	0.04	-0.58	0.686	0.741	0.15	0.12	-0.50	0.657	0.711
TTC37	ENSG00000198677	OMIM	AR	0.04	0.12	0.27	0.870	0.893	0.00	0.12	-0.09	0.964	0.969	0.04	0.12	0.27	0.870	0.891
TTC7A	ENSG00000068724	OMIM	AR	-	-	-	-	-	-	-	-	-	-	0.04	0.08	-0.40	0.783	0.812
TTI2	ENSG00000129696	OMIM	AR	0.08	0.04	-0.18	0.900	0.918	-	-	-	-	-	0.08	0.04	-0.18	0.900	0.917
TTPA	ENSG00000137561	OMIM	AR	-	-	-	-	-	-	-	-	-	-	0.04	0.08	-0.46	0.754	0.792
TUB	ENSG00000166402	OMIM	AR	0.08	0.04	0.78	0.553	0.615	-	-	-	-	-	0.08	0.04	0.78	0.553	0.612
TUBB1	ENSG00000101162	OMIM	AD	0.08	0.04	-0.14	0.923	0.937	-	-	-	-	-	0.08	0.08	-0.61	0.632	0.689
TUBB3	ENSG00000198211	OMIM	AD	0.76	0.60	-0.48	0.410	0.470	-	-	-	-	-	0.79	0.60	-0.26	0.664	0.718
TUBGCP4	ENSG00000137822	OMIM	AR	-	-	-	-	-	0.11	0.04	-0.34	0.804	0.830	0.11	0.08	-0.45	0.730	0.776
TUBGCP6	ENSG00000128159	OMIM	AR	0.11	0.08	1.22	0.352	0.409	-	-	-	-	-	0.11	0.08	1.22	0.352	0.407
TXNRD2	ENSG00000184470	OMIM	AR	0.08	0.12	0.82	0.556	0.619	-	-	-	-	-	0.08	0.12	0.82	0.556	0.616
TYK2	ENSG00000105397	OMIM	AR	0.11	0.08	0.87	0.460	0.522	-	-	-	-	-	0.11	0.08	0.87	0.460	0.519
TYMP	ENSG00000025708	OMIM	AR	-	-	-	-	-	0.11	0.08	0.79	0.528	0.589	0.11	0.08	0.79	0.528	0.588
TYR	ENSG00000077498	OMIM	AD	0.11	0.12	0.29	0.811	0.837	0.42	0.40	-0.30	0.674	0.730	0.42	0.52	-0.60	0.382	0.438
TYRP1	ENSG00000107165	OMIM	AR	-	-	-	-	-	0.15	0.00	2.54	0.152	0.180	0.23	0.00	2.71	0.115	0.136
UBA5	ENSG00000081307	OMIM	AR	-	-	-	-	-	0.00	0.12	-1.78	0.271	0.317	0.00	0.12	-1.78	0.271	0.316
UBXN11	ENSG00000158062	SOD	Not OMIM	0.11	0.08	0.55	0.688	0.743	-	-	-	-	-	0.11	0.08	0.55	0.688	0.740
UGT1A1	ENSG00000242366	OMIM	AR	-	-	-	-	-	0.04	0.16	-0.78	0.528	0.589	0.08	0.16	-0.08	0.939	0.950
UGT1A8	ENSG00000241635	OMIM	Other	-	-	-	-	-	0.04	0.16	-0.78	0.528	0.589	0.04	0.16	-0.78	0.528	0.588
UGT2B17	ENSG00000197888	OMIM	Other	0.38	0.36	-0.55	0.493	0.555	-	-	-	-	-	0.38	0.36	-0.55	0.493	0.552
UMOD	ENSG00000169344	OMIM	AD	0.04	0.12	-1.12	0.437	0.499	-	-	-	-	-	0.04	0.12	-1.12	0.437	0.496
UNC80	ENSG00000144406	OMIM	AR	-	-	-	-	-	0.30	0.12	-0.41	0.655	0.712	0.34	0.16	-0.07	0.934	0.946
UPB1	ENSG00000100024	OMIM	AR	0.11	0.00	4.82	0.026	0.031	-	-	-	-	-	0.11	0.00	4.82	0.026	0.031
UROC1	ENSG00000159650	OMIM	AR	-	-	-	-	-	-	-	-	-	-	0.08	0.04	0.64	0.704	0.755
UROD	ENSG00000126088	CPG	Not OMIM	-	-	-	-	-	0.00	0.12	-0.08	0.965	0.970	0.04	0.12	0.30	0.854	0.876
USH1C	ENSG00000006611	OMIM	AR	0.11	0.20	1.47	0.139	0.166	0.08	0.20	1.06	0.333	0.386	0.11	0.20	1.47	0.139	0.166
USH2A	ENSG00000042781	OMIM	AR	0.45	0.36	0.70	0.360	0.418	0.64	0.24	1.16	0.142	0.169	0.76	0.44	0.71	0.273	0.318
USP28	ENSG00000048028	SOD	Not OMIM	0.08	0.08	-0.10	0.942	0.953	-	-	-	-	-	0.08	0.08	-0.10	0.942	0.952
USP44	ENSG00000136014	SOD	Not OMIM	0.15	0.04	1.22	0.364	0.422	-	-	-	-	-	0.15	0.04	1.22	0.364	0.420
USP45	ENSG00000123552	OMIM	AR	1.78	1.20	0.16	0.676	0.732	-	-	-	-	-	1.78	1.20	0.16	0.676	0.729
USP6	ENSG00000129204	SOD	Not OMIM	0.15	0.08	2.24	0.112	0.133	-	-	-	-	-	0.15	0.08	2.24	0.112	0.133
UVSSA	ENSG00000163945	OMIM	AR	0.04	0.08	-0.56	0.697	0.750	-	-	-	-	-	0.04	0.08	-0.56	0.697	0.748
VARS2	ENSG00000137411	OMIM	AR	0.04	0.08	-0.58	0.704	0.757	-	-	-	-	-	0.04	0.08	-0.58	0.704	0.755
VHL	ENSG00000134086	CPG	Not OMIM	0.04	0.08	0.63	0.664	0.721	-	-	-	-	-	0.11	0.08	0.91	0.495	0.555
VIPAS39	ENSG00000151445	OMIM	AR	0.08	0.04	0.46	0.767	0.803	-	-	-	-	-	0.08	0.04	0.46	0.767	0.802
VPS13A	ENSG00000197969	OMIM	AR	0.11	0.04	0.24	0.861	0.884	-	-	-	-	-	0.11	0.04	0.24	0.861	0.882
VPS13B	ENSG00000132549	OMIM	AR	0.23	0.16	1.09	0.280	0.328	0.15	0.00	2.25	0.187	0.221	0.26	0.16	1.18	0.235	0.275
VPS13C	ENSG00000129003	OMIM	AR	0.19	0.04	0.87	0.499	0.561	-	-	-	-	-	0.19	0.04	0.87	0.499	0.559
VPS13D	ENSG00000048707	OMIM	AR	0.11	0.00	1.49	0.368	0.425	-	-	-	-	-	0.11	0.00	1.49	0.368	0.423
VSX1	ENSG00000100987	OMIM	AD	0.11	0.00	1.10	0.517	0.579	-	-	-	-	-	0.11	0.00	1.10	0.517	0.576
VWA3B	ENSG00000168658	OMIM	AR	0.04	0.08	1.09	0.473	0.536	0.11	0.00	2.19	0.176	0.209	0.15	0.08	2.10	0.090	0.107
VWF	ENSG00000110799	OMIM	ADAR	0.11	0.08	0.06	0.958	0.964	-	-	-	-	-	0.15	0.12	0.25	0.832	0.855
WDR11	ENSG00000120008	OMIM	AD	-	-	-	-	-	0.15	0.00	1.34	0.419	0.477	0.15	0.00	1.34	0.419	0.476
WDR19	ENSG00000157796	OMIM	AR	-	-	-	-	-	-	-	-	-	-	0.08	0.04	-0.38	0.784	0.813
WDR34	ENSG00000119333	OMIM	AR	-	-	-	-	-	-	-	-	-	-	0.08	0.04	-0.05	0.971	0.974
WDR35	ENSG00000118965	OMIM	AR	0.04	0.08	-0.04	0.979	0.982	-	-	-	-	-	0.04	0.12	-1.20	0.413	0.470
WDR36	ENSG00000134987	OMIM	Other	-	-	-	-	-	0.11	0.00	1.10	0.516	0.578	0.11	0.00	1.10	0.516	0.576
WDR52	ENSG00000206530	OMIM	AR	0.15	0.04	2.26	0.096	0.115	-	-	-	-	-	0.15	0.04	2.26	0.096	0.115
WDR66	ENSG00000158023	OMIM	AR	0.08	0.12	0.12	0.920	0.934	-	-	-	-	-	0.08	0.12	0.12	0.920	0.934
WDR72	ENSG00000166415	OMIM	AR	-	-	-	-	-	-	-	-	-	-	0.04	0.08	-0.28	0.853	0.875
WDR81	ENSG00000167716	OMIM	AR	0.11	0.08	1.11	0.411	0.470	-	-	-	-	-	0.11	0.08	1.11	0.411	0.468
WDR96	ENSG00000197748	OMIM	AR	0.04	0.08	0.23	0.864	0.887	-	-	-	-	-	0.11	0.08	0.97	0.406	0.463
WFS1	ENSG00000109501	OMIM	AD	-	-	-	-	-	0.11	0.04	0.90	0.580	0.640	0.11	0.04	0.90	0.580	0.639
WNK4	ENSG00000126562	OMIM	AD	0.19	0.04	0.57	0.644	0.702	-	-	-	-	-	0.19	0.04	0.57	0.644	0.699
WNT10A	ENSG00000135925	OMIM	AR	0.26	0.04	0.82	0.501	0.563	0.30	0.00	1.81	0.250	0.293	0.34	0.04	1.05	0.373	0.429
WRN	ENSG00000165392	CPG	Not OMIM	0.19	0.00	1.42	0.386	0.444	0.11	0.04	0.99	0.563	0.623	0.19	0.04	1.42	0.386	0.442
WWOX	ENSG00000186153	OMIM	AR	-	-	-	-	-	0.08	0.04	0.74	0.651	0.707	0.08	0.08	0.67	0.674	0.727
XBP1	ENSG00000100219	OMIM	Other	0.00	1.88	-4.64	0.002	0.003	-	-	-	-	-	0.00	1.88	-4.64	0.002	0.003
XDH	ENSG00000158125	OMIM	AR	0.15	0.00	1.62	0.327	0.381	-	-	-	-	-	0.15	0.00	1.62	0.327	0.380
XIRP2	ENSG00000163092	SOD	Not OMIM	1.06	0.32	2.15	0.002	0.002	-	-	-	-	-	1.06	0.32	2.15	0.002	0.002
XRCC1	ENSG00000073050	OMIM	AR	0.15	0.12	0.31	0.760	0.798	-	-	-	-	-	0.15	0.12	0.31	0.760	0.796
XRCC4	ENSG00000152422	OMIM	AR	0.11	0.00	1.06	0.534	0.596	0.11	0.00	1.06	0.534	0.594	0.11	0.00	1.06	0.534	0.593
YARS	ENSG00000134684	OMIM	AD	0.08	0.08	-0.66	0.605	0.667	-	-	-	-	-	0.08	0.08	-0.66	0.605	0.664
ZBTB42	ENSG00000179627	OMIM	AR	0.11	0.00	1.01	0.558	0.620	-	-	-	-	-	0.11	0.00	1.01	0.558	0.617
ZFHX3	ENSG00000140836	OMIM	Other	-	-	-	-	-	0.11	0.00	1.88	0.251	0.294	0.11	0.04	1.38	0.308	0.358
ZFYVE26	ENSG00000072121	OMIM	AR	0.19	0.04	2.80	0.057	0.068	-	-	-	-	-	0.19	0.04	2.80	0.057	0.068
ZMPSTE24	ENSG00000084073	OMIM	AR	0.11	0.00	1.84	0.262	0.307	-	-	-	-	-	0.11	0.00	1.84	0.262	0.307
ZMYND10	ENSG00000004838	OMIM	AR	-	-	-	-	-	0.19	0.04	1.35	0.403	0.462	0.23	0.04	1.51	0.342	0.396
ZNF107	ENSG00000196247	SOD	Not OMIM	0.11	0.08	0.62	0.604	0.666	-	-	-	-	-	0.11	0.08	0.62	0.604	0.663
ZNF14	ENSG00000105708	SOD	Not OMIM	0.19	0.24	0.33	0.747	0.789	-	-	-	-	-	0.19	0.24	0.33	0.747	0.788
ZNF142	ENSG00000115568	OMIM	AR	0.08	0.04	0.04	0.976	0.979	-	-	-	-	-	0.08	0.04	0.04	0.976	0.979
ZNF165	ENSG00000197279	SOD	Not OMIM	0.08	0.08	-0.06	0.963	0.968	-	-	-	-	-	0.08	0.08	-0.06	0.963	0.968
ZNF180	ENSG00000167384	SOD	Not OMIM	0.38	0.00	2.29	0.137	0.163	-	-	-	-	-	0.38	0.00	2.29	0.137	0.162
ZNF233	ENSG00000159915	SOD	Not OMIM	0.45	0.04	2.31	0.074	0.088	-	-	-	-	-	0.45	0.04	2.31	0.074	0.088
ZNF234	ENSG00000263002	SOD	Not OMIM	0.08	0.16	-0.30	0.792	0.820	-	-	-	-	-	0.08	0.16	-0.30	0.792	0.819
ZNF423	ENSG00000102935	OMIM	ADAR	-	-	-	-	-	0.08	0.12	-0.19	0.893	0.911	0.08	0.12	-0.19	0.893	0.911
ZNF429	ENSG00000197013	SOD	Not OMIM	0.30	0.08	1.21	0.290	0.339	-	-	-	-	-	0.30	0.08	1.21	0.290	0.338
ZNF469	ENSG00000225614	OMIM	AR	-	-	-	-	-	0.11	0.00	1.20	0.474	0.535	0.11	0.00	1.20	0.474	0.534
ZNF471	ENSG00000196263	SOD	Not OMIM	0.30	0.04	1.50	0.256	0.301	-	-	-	-	-	0.30	0.04	1.50	0.256	0.300
ZNF620	ENSG00000177842	SOD	Not OMIM	0.15	0.00	5.03	0.067	0.080	-	-	-	-	-	0.15	0.00	5.03	0.067	0.080
ZNF626	ENSG00000188171	SOD	Not OMIM	0.04	0.16	0.16	0.903	0.921	-	-	-	-	-	0.04	0.16	0.16	0.903	0.920
ZNF644	ENSG00000122482	OMIM	AD	0.11	0.00	1.30	0.435	0.496	-	-	-	-	-	0.11	0.00	1.30	0.435	0.493
ZNF687	ENSG00000143373	OMIM	AD	-	-	-	-	-	0.00	0.12	-1.99	0.249	0.292	0.00	0.12	-1.99	0.249	0.291
ZNF721	ENSG00000182903	SOD	Not OMIM	0.00	0.12	-0.08	0.966	0.971	-	-	-	-	-	0.00	0.12	-0.08	0.966	0.971
ZNF814	ENSG00000204514	SOD	Not OMIM	0.19	0.08	0.53	0.661	0.718	-	-	-	-	-	0.19	0.08	0.53	0.661	0.715
ZNF93	ENSG00000184635	SOD	Not OMIM	0.08	0.24	-0.06	0.955	0.962	-	-	-	-	-	0.08	0.24	-0.06	0.955	0.961
ZP1	ENSG00000149506	OMIM	AR	0.08	0.08	1.98	0.166	0.197	-	-	-	-	-	0.08	0.08	1.98	0.166	0.196
